id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
259,BLM.,2921,4369,2941,4387,2921,4369,2941,4387,r4c2,,,,,0,
1338,Hobel,4323,4374,4418,4478,4323,4374,4418,4478,r4c3@30,,,,,30,
254,BLM.,2942,4375,2964,4393,2942,4375,2964,4393,r4c2,,,,,0,
1332,Hobel,4393,4375,4451,4435,4393,4375,4451,4435,r4c3@30,,,,,30,
204,REF.,2822,4378,2881,4415,2822,4378,2881,4415,r3c2,,,,,0,
242,Hotel,3593,4384,3647,4467,3593,4384,3647,4467,r3c3,,,,,0,
1252,30,4407,4392,4433,4418,4407,4392,4433,4418,r4c3@30,,,,,30,
252,Hotel,4339,4395,4387,4479,4339,4395,4387,4479,r3c3,,,,,0,
1237,:12,2821,4396,2861,4433,2821,4396,2861,4433,r4c2@30,,,,,30,
238,BLM.,3025,4397,3047,4413,3025,4397,3047,4413,r4c2,,,,,0,
256,10,3530,4397,3561,4430,3530,4397,3561,4430,r4c3,,,,,0,
1189,Pado,3874,4406,3951,4484,3874,4406,3951,4484,r4c3@60,,,,,60,
1527,Fedde,3857,4408,3964,4517,3857,4408,3964,4517,r3c3@60,,,,,60,
1183,53,4427,4408,4452,4433,4427,4408,4452,4433,r4c3@30,,,,,30,
227,BLM.,3153,4410,3174,4427,3153,4410,3174,4427,r4c2,,,,,0,
214,BLM.,3151,4430,3173,4447,3151,4430,3173,4447,r4c2,,,,,0,
205,A,3840,4438,3866,4461,3840,4438,3866,4461,r4c3,,,,,0,
1037,75,4247,4442,4271,4464,4247,4442,4271,4464,r4c3@30,,,,,30,
1022,30,4417,4445,4443,4470,4417,4445,4443,4470,r4c3@30,,,,,30,
993,86,4325,4452,4353,4478,4325,4452,4353,4478,r4c3@30,,,,,30,
194,12,3747,4456,3780,4490,3747,4456,3780,4490,r4c3,,,,,0,
355,HASTINGS ST. WEST,3099,4458,3693,4661,3099,4458,3693,4661,r4c2,,,,,0,
967,30,4421,4459,4448,4486,4421,4459,4448,4486,r4c3@30,,,,,30,
261,C,3937,4463,3960,4489,3937,4463,3960,4489,r3c3,,,,,0,
920,13,3850,4481,3890,4524,3850,4481,3890,4524,r4c3@30,,,,,30,
177,D,4000,4481,4025,4507,4000,4481,4025,4507,r4c3,,,,,0,
915,13,3852,4483,3891,4522,3852,4483,3891,4522,r4c3@30,,,,,30,
901,13,3887,4489,3917,4518,3887,4489,3917,4518,r4c3@30,,,,,30,
893,30,4401,4493,4427,4519,4401,4493,4427,4519,r4c3@30,,,,,30,
892,Hobel,3866,4494,3930,4569,3866,4494,3930,4569,r4c3@30,,,,,30,
887,Hobel,3863,4496,3928,4573,3863,4496,3928,4573,r4c3@30,,,,,30,
869,Hobel,3845,4505,3922,4598,3845,4505,3922,4598,r4c3@30,,,,,30,
866,Ave,4343,4507,4409,4575,4343,4507,4409,4575,r4c3@60,,,,,60,
861,Lavare,4310,4509,4406,4598,4310,4509,4406,4598,r4c3@30,,,,,30,
859,Hotel,3842,4510,3925,4610,3842,4510,3925,4610,r4c3@30,,,,,30,
155,14,3966,4513,3998,4545,3966,4513,3998,4545,r4c3,,,,,0,
802,B,4348,4538,4376,4566,4348,4538,4376,4566,r4c3@30,,,,,30,
