id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
133,Sal,2051,1353,2091,1375,3831,2527,3905,2568,r2c3,,,,,0,
510,x,628,1359,642,1372,1172,2537,1199,2562,r2c1,,,,,0,
119,2½,999,1362,1027,1382,1866,2543,1918,2580,r2c1,,,,,0,
465,COMMERCIAL Co. W.Ho.,645,1374,983,1405,1204,2566,1836,2625,r2c1,,,,,0,
273,320.,2334,1375,2352,1418,4359,2568,4392,2648,r2c4,,,,,0,
97,"0""",2578,1375,2591,1385,4815,2569,4839,2586,r2c4,,,,,0,
199,"12""",2362,1376,2378,1385,4412,2570,4442,2588,r2c4,,,,,0,
93,"8""",2473,1376,2487,1387,4619,2570,4646,2590,r2c4,,,,,0,
386,TAMPA,530,1377,628,1405,990,2572,1173,2623,r2c0,,,,,0,
160,12,2671,1377,2685,1387,4989,2572,5014,2590,r2c4,,,,,0,
475,4,2804,1390,2812,1401,5237,2596,5253,2616,r2c4,,,,,0,
73,x,2088,1399,2098,1408,3900,2613,3918,2629,r2c3,,,,,0,
49,0,1977,1401,1987,1412,3693,2616,3712,2636,r2c3,,,,,0,
64,EL,1001,1402,1019,1418,1869,2619,1902,2648,r2c1,,,,,0,
63,TANK,1898,1404,1942,1419,3545,2622,3627,2651,r2c3,,,,,0,
306,AROUND.,2726,1405,2742,1515,5090,2625,5121,2829,r2c4,,,,,0,
499,"16""",2802,1416,2821,1428,5234,2645,5268,2667,r2c4,,,,,0,
259,CLAD,2713,1418,2724,1463,5067,2648,5088,2732,r2c4,,,,,0,
120,B,1032,1439,1052,1461,1928,2688,1965,2728,r2c1,,,,,0,
17,1,2041,1439,2050,1450,3812,2688,3828,2708,r2c3,,,,,0,
32,0,2054,1441,2066,1451,3836,2691,3859,2710,r2c3,,,,,0,
630,2,2893,1447,2903,1457,5403,2702,5422,2721,r2c4,,,,,0,
478,3,2804,1448,2813,1457,5237,2704,5254,2721,r2c4,,,,,0,
121,8,2653,1449,2663,1459,4956,2707,4973,2725,r2c4,,,,,0,
38,W,2597,1454,2609,1463,4849,2715,4872,2732,r2c4,,,,,0,
6,0,2547,1455,2557,1462,4758,2717,4775,2731,r2c4,,,,,0,
168,W,2375,1456,2387,1465,4435,2720,4458,2737,r2c4,,,,,0,
82,1,2423,1456,2430,1465,4525,2720,4538,2737,r2c4,,,,,0,
33,0,2461,1456,2471,1465,4597,2720,4616,2737,r2c4,,,,,0,
5,0,2500,1456,2510,1465,4669,2720,4689,2737,r2c4,,,,,0,
260,IRON,2713,1467,2724,1510,5067,2740,5088,2820,r2c4,,,,,0,
297,ALL,2725,1468,2739,1514,5089,2743,5116,2827,r2c4,,,,,0,
433,TANK.,655,1471,702,1486,1224,2748,1311,2776,r2c1,,,,,0,
482,D,2805,1494,2815,1505,5240,2790,5257,2811,r2c4,,,,,0,
76,x,1013,1498,1027,1511,1892,2798,1918,2823,r2c1,,,,,0,
10,TANK.,2490,1500,2529,1513,4650,2801,4723,2826,r2c4,,,,,0,
552,PIER No.2.,538,1507,700,1546,1005,2814,1308,2887,r2c0,,,,,0,
20,220,1449,1513,1469,1554,2706,2826,2743,2903,r2c2,,,,,0,
376,ASHLEY,1358,1517,1429,1734,2537,2833,2669,3239,r2c2,,,,,0,
483,N,2807,1535,2815,1547,5242,2867,5258,2889,r2c4,,,,,0,
124,A,1034,1549,1055,1574,1931,2893,1971,2939,r2c1,,,,,0,
250,319,2343,1554,2363,1593,4376,2903,4413,2975,r2c4,,,,,0,
40,7,2492,1558,2503,1571,4654,2910,4674,2933,r2c4,,,,,0,
77,x,1015,1561,1027,1573,1895,2915,1918,2938,r2c1,,,,,0,
114,Dm's,2405,1561,2451,1585,4492,2916,4578,2961,r2c4,,,,,0,
53,x,2494,1577,2504,1587,4659,2946,4676,2965,r2c4,,,,,0,
648,x,2901,1579,2912,1588,5419,2949,5439,2966,r2c4,,,,,0,
65,x,2552,1582,2561,1591,4766,2955,4783,2972,r2c4,,,,,0,
109,0,2408,1597,2418,1607,4498,2982,4515,3002,r2c4,,,,,0,
142,x,2388,1600,2398,1610,4461,2988,4478,3006,r2c4,,,,,0,
466,S.F.R.R.,1150,1601,1197,1687,2148,2989,2237,3150,r2c1,,,,,0,
489,W,2807,1609,2816,1622,5242,3005,5260,3029,r2c4,,,,,0,
237,4,2677,1613,2717,1658,5000,3012,5075,3097,r2c4,,,,,0,
448,2,2793,1624,2803,1636,5217,3034,5235,3055,r2c4,,,,,0,
249,5,1806,1637,1842,1680,3373,3058,3441,3138,r2c3,,,,,0,
444,0,2792,1644,2802,1655,5214,3070,5232,3091,r2c4,,,,,0,
682,S3,1176,1664,1197,1686,2196,3108,2235,3148,r3c1,,,,,0,
684,C,1807,1664,1826,1678,3374,3108,3410,3134,r3c2,,,,,0,
689,Vac.,2955,1664,2992,1679,5520,3108,5588,3136,r3c5,,,,,0,
690,411,3021,1664,3038,1692,5643,3108,5673,3159,r3c5,,,,,0,
691,FRANK,3121,1664,3168,1898,5829,3108,5917,3545,r3c5,,,,,0,
616,TAMPA,2203,1689,2248,1897,4115,3154,4199,3544,r3c3,,,,,0,
607,x,867,1691,879,1702,1620,3158,1641,3180,r3c1,,,,,0,
594,306',2113,1699,2132,1748,3947,3172,3981,3266,r3c3,,,,,0,
342,WIND MILL &,1800,1702,1894,1717,3362,3179,3537,3207,r2c3,,,,,0,
589,2,2906,1702,2916,1712,5428,3178,5446,3197,r3c5,,,,,0,
374,ELEV'D WATER,1798,1719,1913,1733,3359,3210,3573,3236,r2c3,,,,,0,
495,0,2807,1719,2818,1731,5242,3210,5264,3233,r2c4,,,,,0,
428,3/8,2345,1720,2363,1757,4379,3212,4413,3282,r2c4,,,,,0,
546,TANKS.,1798,1735,1854,1750,3357,3240,3464,3268,r3c3,,,,,0,
532,U,2808,1747,2820,1760,5245,3263,5267,3287,r3c4,,,,,0,
453,2,2795,1754,2805,1766,5220,3276,5238,3298,r2c4,,,,,0,
461,O,2795,1775,2807,1787,5221,3316,5242,3337,r3c4,,,,,0,
518,0,2795,1779,2805,1789,5220,3322,5238,3342,r2c4,,,,,0,
383,x,886,1806,896,1817,1654,3373,1673,3393,r3c1,,,,,0,
377,219,1486,1807,1507,1844,2776,3375,2815,3443,r3c2,,,,,0,
332,2,2988,1828,3006,1847,5580,3415,5614,3449,r3c5,,,,,0,
502,T,2812,1829,2822,1841,5253,3416,5271,3438,r3c4,,,,,0,
301,108,3021,1839,3039,1880,5643,3435,5676,3511,r3c5,,,,,0,
307,W,174,1851,194,1867,326,3456,361,3486,r3c0,,,,,0,
219,1,2369,1870,2388,1888,4425,3492,4459,3527,r3c4,,,,,0,
681,x,2369,1870,2382,1877,4425,3493,4449,3506,r2c4,,,,,0,
204,E,455,1877,468,1891,849,3505,874,3531,r3c0,,,,,0,
196,BEING,2902,1879,2927,1952,5419,3509,5467,3646,r3c5,,,,,0,
175,TAMPA TRIBUNE,2371,1888,2498,1906,4428,3527,4666,3560,r3c4,,,,,0,
238,317,2347,1893,2365,1933,4383,3535,4416,3610,r3c4,,,,,0,
158,2,2988,1896,3008,1914,5581,3541,5617,3574,r3c5,,,,,0,
171,PRINT & PUB. HO.,2374,1901,2534,1921,4433,3550,4733,3588,r3c4,,,,,0,
505,F,2812,1901,2823,1916,5253,3550,5273,3578,r3c4,,,,,0,
367,2,1220,1922,1235,1939,2278,3590,2307,3621,r3c2,,,,,0,
169,HAND POWER.,2375,1929,2481,1944,4435,3603,4634,3631,r3c4,,,,,0,
172,X,2373,1948,2382,1960,4432,3639,4449,3660,r3c4,,,,,0,
291,Q.H.,3247,1954,3275,1973,6065,3650,6116,3684,r3c5,,,,,0,
320,213,1243,1956,1261,1993,2321,3653,2356,3722,r3c2,,,,,0,
519,W.Ho.,1154,1957,1217,1980,2156,3654,2272,3699,r3c1,,,,,0,
44,18,2586,1962,2608,1979,4829,3664,4871,3696,r3c4,,,,,0,
286,19,2712,1962,2736,1977,5065,3664,5109,3693,r3c4,,,,,0,
288,16',1790,1970,1815,1986,3343,3679,3390,3709,r3c3,,,,,0,
41,17.,2006,1970,2035,1990,3746,3679,3801,3716,r3c3,,,,,0,
248,15,1619,1971,1646,1988,3023,3682,3074,3713,r3c2,,,,,0,
112,80',2943,2013,2974,2065,5497,3760,5554,3857,r3c5,,,,,0,
205,212,1287,2023,1306,2057,2403,3779,2439,3842,r3c2,,,,,0,
534,SWEET,3338,2023,3371,2144,6234,3779,6296,4004,r3c5,,,,,0,
321,JACKSON,1780,2026,2026,2073,3324,3785,3783,3871,r3c3,,,,,0,
129,80',1566,2030,1597,2076,2924,3791,2983,3877,r3c2,,,,,0,
401,River.,435,2036,475,2301,813,3802,886,4298,r3c0,,,,,0,
3,x,931,2066,943,2078,1739,3859,1760,3881,r3c1,,,,,0,
221,WOODEN BRIDGE.,3031,2083,3248,2113,5660,3890,6066,3947,r3c5,,,,,0,
165,2,1302,2086,1319,2105,2432,3895,2463,3931,r3c2,,,,,0,
181,Creek.,2596,2090,2695,2119,4848,3904,5033,3957,r3c4,,,,,0,
576,WOODEN BRIDGE.,2127,2099,2331,2122,3973,3920,4353,3963,r3c3,,,,,0,
68,Ry,3127,2117,3150,2148,5841,3954,5883,4011,r3c5,,,,,0,
118,211,1328,2132,1347,2163,2481,3983,2515,4040,r3c2,,,,,0,
520,Gen't Storage.,1162,2140,1324,2169,2169,3997,2472,4052,r3c2,,,,,0,
232,STREET,3130,2165,3148,2232,5847,4043,5880,4169,r3c5,,,,,0,
174,25,2910,2189,2939,2208,5435,4089,5489,4123,r3c5,,,,,0,
394,20,1681,2192,1708,2209,3140,4095,3191,4126,r3c2,,,,,0,
187,23,2636,2195,2661,2213,4923,4100,4970,4133,r3c4,,,,,0,
362,21,2733,2195,2766,2211,5105,4099,5166,4129,r3c4,,,,,0,
186,22,2487,2198,2512,2213,4644,4105,4692,4133,r3c4,,,,,0,
200,21,1942,2200,1967,2218,3627,4109,3674,4143,r3c3,,,,,0,
